Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,VR_Win Rate [%],VR_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,MAX52w_Win Rate [%],MAX52w_SQN,MAX30d_Win Rate [%],MAX30d_SQN,RSI_Win Rate [%],RSI_SQN
マキタ,6586,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
マブチモーター,6592,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ジーエス・ユアサ　コーポレーション,6674,2024-08-16,0,0,0,0,0,1,41.66666667,0.8788002138,,,,,,,,
サンケン電気,6707,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
セイコーエプソン,6724,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
アルバック,6728,2024-08-16,0,0,0,0,0,1,42.10526316,1.092278281,,,,,,,,
シャープ,6753,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
アンリツ,6754,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
富士通ゼネラル,6755,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＴＤＫ,6762,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
アルプスアルパイン,6770,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ヒロセ電機,6806,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
横河電機,6841,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
アズビル,6845,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本光電工業,6849,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
堀場製作所,6856,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
スタンレー電気,6923,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ウシオ電機,6925,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本電子,6951,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
カシオ計算機,6952,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ローム,6963,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
浜松ホトニクス,6965,2024-08-16,0,0,1,0,0,0,,,,,,,,,20,-0.8692554445
三井ハイテック,6966,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
新光電気工業,6967,2024-08-16,0,0,0,1,0,0,,,,,,,39.39393939,-0.5924201703,,
太陽誘電,6976,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日東電工,6988,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
川崎重工業,7012,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＩＨＩ,7013,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
全国保証,7164,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
めぶきフィナンシャルグループ,7167,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
九州フィナンシャルグループ,7180,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
かんぽ生命保険,7181,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ゆうちょ銀行,7182,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
コンコルディア・フィナンシャルグループ,7186,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
いすゞ自動車,7202,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日野自動車,7205,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
三菱自動車工業,7211,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＮＯＫ,7240,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
アイシン,7259,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
マツダ,7261,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ヤマハ発動機,7272,2024-08-16,0,0,0,0,0,1,41.66666667,0.5276308129,,,,,,,,
小糸製作所,7276,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
豊田合成,7282,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
テイ・エス　テック,7313,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ひろぎんホールディングス,7337,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
良品計画,7453,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
第一興商,7458,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
メディパルホールディングス,7459,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
アズワン,7476,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ネットワンシステムズ,7518,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
パン・パシフィック・インターナショナルホールディングス,7532,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ゼンショーホールディングス,7550,2024-08-16,0,0,0,1,0,0,,,,,,,70.73170732,5.076364123,,
コロワイド,7616,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
スギホールディングス,7649,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
島津製作所,7701,2024-08-16,0,0,0,1,0,0,,,,,,,15.38461538,-1.957282421,,
東京精密,7729,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
マニー,7730,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ニコン,7731,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
トプコン,7732,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＳＣＲＥＥＮホールディングス,7735,2024-08-16,0,0,0,0,0,1,54.54545455,0.03308596422,,,,,,,,
朝日インテック,7747,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
