Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign
デクスコム,DXCM,2024-08-16,74.7,117.2,142.0,-10.2,0.3,-6.2,1.8,-5.1,35.0,38.6,37.5,30.9,87.1,62.2,0,0,0,0,0,0
ダイヤモンドバック エナジー,FANG,2024-08-16,194.8,214.5,214.5,-1.3,0.0,-1.9,-0.8,-4.8,47.5,39.9,45.8,47.3,91.9,60.9,0,0,0,0,0,0
DLR,DLR,2024-08-16,149.6,162.6,162.6,-0.6,0.0,-0.4,-0.0,-3.3,50.0,39.7,48.9,48.9,83.9,56.6,0,0,0,0,0,0
ディスカバー ファイナンシャル サービス,DFS,2024-08-16,133.8,147.6,147.6,-1.1,-0.1,-0.4,3.2,-4.0,53.0,39.8,53.9,47.4,135.2,68.3,0,0,0,0,0,0
ダラー ジェネラル,DG,2024-08-16,123.3,135.5,223.0,-2.3,0.1,-1.5,3.0,-2.9,48.2,38.2,53.7,42.6,95.7,56.2,0,0,0,0,0,0
ダラー ツリー,DLTR,2024-08-16,98.8,108.9,161.1,-3.0,0.0,-1.3,2.3,-3.4,42.4,36.9,46.6,34.5,75.9,55.2,0,0,0,0,0,0
ドミニオン エナジー,D,2024-08-16,56.0,57.6,58.7,1.0,0.0,0.4,1.9,-2.8,62.3,38.2,65.8,62.3,287.1,56.3,0,0,0,0,0,0
ドミノ ピザ,DPZ,2024-08-16,442.9,509.1,542.8,-11.5,1.2,-12.4,0.8,-2.8,43.9,39.4,47.3,42.6,103.6,62.1,0,0,0,0,0,0
ドーバー,DOV,2024-08-16,179.8,192.3,192.3,-1.3,0.0,-1.5,1.2,-2.6,50.4,41.0,51.5,47.0,71.2,58.4,0,0,0,0,0,0
ダウ,DOW,2024-08-16,53.9,56.0,60.7,-0.3,0.0,-0.4,1.6,-2.9,50.4,39.0,54.7,47.7,118.2,60.6,0,0,0,0,0,0
DTE エナジー,DTE,2024-08-16,121.9,126.8,126.8,1.9,-0.0,0.9,0.8,-2.2,61.1,40.4,63.9,62.6,126.3,63.0,0,0,0,0,0,0
