Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign
フジ住宅,8860,2024-07-17,812.0,826.0,826.0,11.9,0.0,5.2,1.6,-2.1,60.8,41.9,64.1,61.0,131.7,57.9,0,0,0,0,0,0
空港施設,8864,2024-07-17,607.0,609.0,662.0,0.2,0.1,-1.5,0.6,-1.9,52.8,43.7,56.3,51.4,140.1,61.8,0,0,0,0,0,0
リログループ,8876,2024-07-17,1752.0,1796.5,2242.0,33.6,-0.6,39.5,0.9,-3.8,63.5,38.0,64.2,64.0,163.8,55.4,0,0,0,0,0,0
エスリード,8877,2024-07-17,4810.0,4855.0,4855.0,151.6,0.3,86.8,2.4,-2.2,66.7,43.4,67.9,67.0,177.1,58.6,0,0,0,0,0,0
日神グループホールディングス,8881,2024-07-17,597.0,613.0,613.0,15.0,0.5,6.9,1.7,-2.1,64.8,43.1,68.1,66.9,187.4,53.4,0,0,0,0,0,0
日本エスコン,8892,2024-07-17,1102.0,1105.0,1117.0,9.2,0.2,0.2,1.2,-2.2,58.9,41.3,62.3,57.8,179.2,55.1,0,0,0,0,0,0
ＭＩＲＡＲＴＨホールディングス,8897,2024-07-17,545.0,551.0,595.0,10.1,0.3,3.8,1.8,-2.3,60.3,40.3,65.8,62.6,180.2,56.2,0,0,0,0,0,0
イオンモール,8905,2024-07-17,1980.0,2109.5,2109.5,12.0,2.0,16.5,1.8,-2.2,57.6,42.6,58.1,55.0,74.6,58.0,0,0,0,0,0,0
カチタス,8919,2024-07-17,1875.0,1910.0,3220.0,27.7,3.7,25.8,3.0,-3.9,60.4,39.5,69.8,62.9,164.3,63.1,0,0,0,0,0,0
トーセイ,8923,2024-07-17,2603.0,2641.0,2641.0,45.9,3.3,8.6,2.7,-2.8,60.6,43.3,63.6,60.4,163.3,63.4,0,0,0,0,0,0
サンフロンティア不動産,8934,2024-07-17,2102.0,2105.0,2235.0,22.2,1.7,0.5,2.1,-2.5,60.4,44.0,65.6,59.5,142.4,67.0,0,0,0,0,0,0
ＦＪネクストホールディングス,8935,2024-07-17,1346.0,1374.0,1425.0,14.9,0.4,-3.3,2.1,-2.0,57.6,42.1,62.2,57.2,122.1,56.8,0,0,0,0,0,0
グランディハウス,8999,2024-07-17,626.0,630.0,683.0,6.0,0.6,3.6,1.8,-2.6,60.5,42.4,68.1,61.8,158.1,61.1,0,0,0,0,0,0
東武鉄道,9001,2024-07-17,2660.0,2810.0,4194.0,-36.1,2.4,-21.4,-0.3,-2.6,39.0,38.4,43.6,41.7,95.4,52.0,0,0,0,0,0,0
相鉄ホールディングス,9003,2024-07-17,2402.0,2463.5,3139.0,-18.9,1.2,-11.5,0.6,-2.6,45.7,39.6,49.5,44.5,112.0,52.6,0,0,0,0,0,0
東急,9005,2024-07-17,1793.5,1881.0,2093.5,-21.0,1.9,-13.4,2.2,-2.6,50.2,40.2,55.9,43.7,91.2,60.3,0,0,0,0,0,0
京浜急行電鉄,9006,2024-07-17,1194.5,1205.0,1455.0,-1.1,1.1,-2.4,1.2,-2.9,51.5,39.0,60.7,52.3,116.8,51.6,0,0,0,0,0,0
小田急電鉄,9007,2024-07-17,1554.0,1626.5,2372.0,-19.7,2.0,-9.5,0.4,-3.0,42.6,37.2,48.1,44.3,95.8,60.0,0,0,0,0,0,0
京王電鉄,9008,2024-07-17,3808.0,3799.0,5433.0,-7.3,4.6,17.9,1.9,-2.9,53.0,37.7,60.9,51.5,146.9,55.8,0,0,0,1,0,0
京成電鉄,9009,2024-07-17,5106.0,5775.0,7676.0,-107.5,4.9,-86.5,-1.4,-3.1,38.5,39.1,39.2,39.4,63.8,58.0,0,0,1,0,0,0
富士急行,9010,2024-07-17,3155.0,3235.0,5820.0,-8.3,3.4,21.9,2.5,-3.7,50.4,37.2,56.2,49.6,120.8,51.4,0,0,0,0,0,0
東日本旅客鉄道,9020,2024-07-17,2705.0,2785.0,3108.3,-20.5,4.5,-23.0,1.5,-2.7,49.9,39.7,55.8,48.5,122.1,56.9,0,0,0,0,0,0
西日本旅客鉄道,9021,2024-07-17,2922.5,3185.0,3327.0,-35.3,1.4,-25.5,-0.1,-3.2,43.6,39.5,43.5,41.3,72.3,57.4,0,0,0,0,0,0
東海旅客鉄道,9022,2024-07-17,3552.0,3554.0,4027.0,11.0,3.5,-3.0,1.4,-2.8,54.9,39.7,62.0,55.4,139.3,54.2,0,0,0,0,0,0
西武ホールディングス,9024,2024-07-17,2351.5,2445.0,2605.5,-11.7,4.9,-24.6,3.3,-3.3,56.0,40.0,64.1,51.2,71.6,52.9,0,0,0,0,0,0
鴻池運輸,9025,2024-07-17,2440.0,2449.0,2464.0,17.4,1.5,9.2,2.3,-2.5,60.5,41.9,63.7,56.3,186.9,60.5,0,0,0,0,0,0
西日本鉄道,9031,2024-07-17,2491.0,2607.5,2744.5,-0.8,-1.9,4.2,-0.0,-2.3,49.3,41.6,47.6,48.3,145.1,60.7,0,0,0,0,0,0
