Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,BBAND_L2_Sign,MACD_Win Rate [%],MACD_SQN,RSI_Win Rate [%],RSI_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,VR_Win Rate [%],VR_SQN,MAX52w_Win Rate [%],MAX52w_SQN,BB2_Win Rate [%],BB2_SQN,stochastic_Win Rate [%],stochastic_SQN,tsumitate_Win Rate [%],tsumitate_SQN,MAX30d_Win Rate [%],MAX30d_SQN,Price_0d,PL_0d,Price_1d,PL_1d,Price_3d,PL_3d,Price_7d,PL_7d,Price_14d,PL_14d,Price_21d,PL_21d,Price_28d,PL_28d,Price_60d,PL_60d,Resi_Price,Price_2d,PL_2d,Price_4d,PL_4d,Price_5d,PL_5d,Price_6d,PL_6d,Price_8d,PL_8d,Price_9d,PL_9d,Price_10d,PL_10d,Price_11d,PL_11d,Price_12d,PL_12d,Price_13d,PL_13d,Price_20d,PL_20d,Price_22d,PL_22d,Price_27d,PL_27d,Price_29d,PL_29d,Price_59d,PL_59d,Price_61d,PL_61d
ＧＭＯペイメントゲートウェイ,3769,2024-11-15,0.0,1.0,1.0,0.0,0.0,1.0,1.0,42.85714285714285,0.2743456836602165,59.09090909090909,1.6896400753251504,58.58585858585859,1.05282876698911,66.66666666666666,2.763107812326577,0.0,0.0,56.75675675675676,1.1005059543375508,42.30769230769231,-0.3941448888513271,57.6271186440678,0.1415314275000309,48.0,-0.249237148328327,6812.0,0.0,6728.0,-1.2,7470.0,9.7,7633.0,12.1,,,,,,,,,,7037.0,3.3,7440.0,9.2,7586.0,11.4,7863.0,15.4,,,,,,,,,,,,,,,,,,,,,,,,
アステリア,3853,2024-11-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.85714285714285,1.539703849493376,50.0,1.1767994948658762,39.62264150943396,0.6810438119983204,56.41025641025641,2.000535189738758,0.0,0.0,23.809523809523807,-1.0597264494883192,34.26573426573427,-1.484517559424735,23.33333333333333,-1.977168248312192,23.52941176470588,-1.2290566498118536,472.0,0.0,469.0,-0.6,499.0,5.7,511.0,8.3,,,,,,,,,,476.0,0.8,495.0,4.9,499.0,5.7,523.0,10.8,,,,,,,,,,,,,,,,,,,,,,,,
日本製紙,3863,2024-11-15,0.0,0.0,1.0,0.0,0.0,1.0,0.0,44.44444444444444,0.344196712007276,33.33333333333333,-1.2459889468282876,38.18181818181819,-1.002878456524672,48.38709677419355,-0.3875390859052283,20.0,-1.5332990045104908,14.583333333333334,-3.537471965042207,28.57142857142857,-4.316324660834546,23.33333333333333,-1.9511203724463784,37.5,-0.3675944024909787,837.0,0.0,835.0,-0.2,837.0,0.0,843.0,0.7,,,,,,,,,,840.0,0.4,839.0,0.2,843.0,0.7,854.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
三菱製紙,3864,2024-11-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,0.1710993293681444,57.692307692307686,1.7177094420580687,46.90265486725664,2.6342467237399267,54.0,3.426119416565424,62.5,0.0770347890626664,43.58974358974359,2.146280225314873,39.735099337748345,1.558527239643991,40.0,1.5076104668901398,66.66666666666666,2.071522381171677,462.0,0.0,479.0,3.7,485.0,5.0,480.0,3.9,,,,,,,,,,485.0,5.0,483.0,4.5,485.0,5.0,496.0,7.4,,,,,,,,,,,,,,,,,,,,,,,,
大王製紙,3880,2024-11-15,0.0,1.0,1.0,0.0,0.0,1.0,1.0,63.63636363636363,1.105863066998121,42.85714285714285,-0.7837182224505246,38.297872340425535,-0.6382791918011393,50.0,1.1110066109716954,0.0,0.0,37.83783783783784,0.8793598503470791,39.18918918918919,-0.3855165295372844,38.333333333333336,-0.4772018145957261,33.33333333333333,-0.6870007603781112,774.0,0.0,794.0,2.6,797.0,3.0,808.0,4.4,,,,,,,,,,801.0,3.5,801.0,3.5,807.0,4.3,816.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,
マークラインズ,3901,2024-11-15,0.0,1.0,1.0,0.0,0.0,1.0,1.0,57.14285714285714,0.4965743830258073,71.42857142857143,2.7931224258568013,67.3076923076923,1.5831456833397062,61.81818181818181,2.3098227541004483,16.666666666666664,-1.3024407615972249,73.33333333333333,2.187351074613244,41.72185430463576,-0.5810931302963983,46.66666666666666,-0.6482707304831491,28.125,-1.523512238866665,2272.0,0.0,2264.0,-0.4,2348.0,3.3,2401.0,5.7,,,,,,,,,,2321.0,2.2,2370.0,4.3,2404.0,5.8,2400.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,
メディカル・データ・ビジョン,3902,2024-11-15,0.0,1.0,1.0,0.0,0.0,1.0,1.0,22.22222222222222,0.2497813759650733,100.0,4.775714963871804,31.818181818181817,0.7374096896474244,54.54545454545454,-0.0163465114108102,,0.0,20.51282051282051,-2.911569736238276,39.71631205673759,-0.2418003939120495,23.33333333333333,-1.060246051054706,11.76470588235294,-2.07255202734086,6923.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
テラスカイ,3915,2024-11-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,0.6389283848954653,45.0,1.207971058685167,43.61702127659575,0.2915155012056303,37.25490196078432,-0.0134327203513598,0.0,-2.41697903219479,42.5,1.5213453574678586,42.28187919463088,-0.4873406708019082,51.66666666666667,0.1499258156789831,46.42857142857143,0.2906066492730105,1845.0,0.0,1830.0,-0.8,1931.0,4.7,1931.0,4.7,,,,,,,,,,1889.0,2.4,1945.0,5.4,1917.0,3.9,1956.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
ランドコンピュータ,3924,2024-11-15,0.0,1.0,1.0,0.0,0.0,1.0,1.0,75.0,0.3964782685911569,90.0,2.7667704382410125,64.0,1.314262711187856,60.86956521739131,1.548722766963709,73.33333333333333,2.165423299008949,46.15384615384615,0.3606107089189537,56.2962962962963,3.175228250213128,48.333333333333336,1.535398993599988,73.33333333333333,4.073719622826598,652.0,0.0,656.0,0.6,657.0,0.8,655.0,0.5,,,,,,,,,,667.0,2.3,651.0,-0.2,653.0,0.2,661.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,
カナミックネットワーク,3939,2024-11-15,0.0,1.0,1.0,0.0,0.0,0.0,1.0,60.0,0.6155499290161781,84.61538461538461,2.9633158187345234,46.55172413793103,0.6795560045158678,60.86956521739131,1.7327321767615764,0.0,0.0,43.58974358974359,-0.0348763090137921,40.2439024390244,-0.8893644586396624,36.66666666666666,-0.6235589180509696,44.44444444444444,-1.2185247091316422,481.0,0.0,480.0,-0.2,495.0,2.9,486.0,1.0,,,,,,,,,,484.0,0.6,490.0,1.9,488.0,1.5,491.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,
